id_str,username,screen_name,created_at,friends_count,followers_count,favourited_count,statuses_count,full_text,description,text_created_at,text_favourites_count,text_retweets_count,label
1.55E+18,Juwitahotbig,Juwita,Fri Jul 08 04:42:23 +0000 2022,0,112,156,137,"Pagii Dirumah pemimpin pemersatu bangsa hamil
Open vcs sange 
Di jamin real
Wa:0896-9944-6065
#vcs 
#SANGE_AAAAAAAAAA 
#SemuaJadiAman https://t.co/BrVH6MjcnB",Ready pelayanan jasa open VCS bertarif!💦,Mon Jul 18 21:14:28 +0000 2022,4,4,1
8.22E+17,twitKotaBatu,twit kota batu,Thu Jan 19 16:33:49 +0000 2017,101,27,26,957,"Masukin Irwansyah #SaveGaram Chico Kelas 1 #KIMGARAM #AremaDay Suamiku BRIN 
https://t.co/21TMzClyeY @threadreaderapp unroll info-info https://t.co/l6yPOiwM6A","PT Halo Batu Indonesia  1001Panduan Turis 💯Restorant, MICE ,and Travel Organizer +628113712299, 
Snap Your Target to be  High Quality.
Our brand twit app.",Sun Jul 17 14:28:51 +0000 2022,0,0,1
1.36E+18,MamatB77,Mamat Codet,Mon Feb 08 08:11:20 +0000 2021,5,3,46,75,"Dari kasus Natalie dan Sule belajar kalau punya pasangan yang humoris itu tidak menjamin dapat cinta sejati.

Putdel kenapa dari dulu gak ngomong kalau belum bisa menerima orang baru dikeluargamu.

Dingin #AdaApaDenganGojek #TangkapAbuJanda MSAT Ponpes Pesantren Mimpi #Putdel https://t.co/SHAcCJeJpf",,Fri Jul 08 01:14:56 +0000 2022,1,0,1
1266438308,amelviejie,amel viejie,Thu Mar 14 07:22:25 +0000 2013,119,48,46,89,"Jokowi Peduli Negeri
Masyarakat pulau sebuku kompak gelar dialog kebangsaan cegah paham radikalisme https://t.co/IqclXoEeAj",,Sat Jul 23 02:23:26 +0000 2022,1,0,1
1.22E+18,rh_dewa,RHDewa,Wed Jan 22 04:02:17 +0000 2020,271,73,1311,7794,Kader Senior Golkar dan Pengusaha Tajir Ini Gabung Demokrat Kabupaten Bandung https://t.co/w3oMm682Es #DemokratBersamaRakyat AHY Pemimpin Perubahan,be good,Tue Aug 02 10:27:54 +0000 2022,0,0,1
1.55E+18,MissPut28953579,Miss Putri,Mon Jul 11 06:20:52 +0000 2022,0,381,147,144,Pemimpin Pemersatu Bangsa ayo vcs sama Putri yok info wa cek bio aja ya https://t.co/JqR8bZtbEO,"Reall account info rr 
https://t.co/ItzrXuRqWo",Mon Jul 18 17:53:37 +0000 2022,20,7,1
1.47E+18,Zink_Cat1,Catherine,Sun Dec 05 12:37:28 +0000 2021,1133,1993,247,488,"Troli lipat roda 6 bisa buat melewati anak tangga
Link https://t.co/alKblDVPIo

#Video
Tags: Rafi Rakyat Rasakan Kemajuan Nyate Siang Telkom #selfielebaran Rendang Gereja Kasian Felix Qurban https://t.co/7lmRrmYoVy","Yuk Twitter, aku tukang share barang bagus, biar kamu senang (✿^‿^)",Sun Jul 10 06:47:51 +0000 2022,1,0,1
1.53E+18,panjislot,PANJI SLOT,Sat Jun 04 08:04:01 +0000 2022,5,2,0,67,"Mau Prediksi jitu  &amp; Trik tembus yang cuan?? 🤑🤑🤑
SEGERA GABUNG DI PANJISLOT !!!
• Line : panjislot
• Whatsapp : +855964375074
• Telegram : @panjislot
CS 24 Jam siap melayani anda 🤗

#KPinTwitterSpace #TangkapAbuJanda #StickTo6etherWithNCT127 #belanja77salelazada https://t.co/T78YwTuvey",panjislot,Thu Jul 07 20:59:04 +0000 2022,0,0,1
1.41E+18,CrishNatali,Crish Natali,Thu Jun 17 02:31:29 +0000 2021,18,3,33,37,"@AMT_Kepri @prabowo @Gerindra Pak Bowo Kita semua pasti mendukung Bapak.
@prabowo
@gerindra
Prabowo Selalu Teratas
Gerindra Sumbu Utama
Masa Depan NKRI",E,Wed Jul 20 08:47:37 +0000 2022,0,0,1
1.42E+18,Harmawa70517350,Harmawan,Wed Jul 14 08:28:47 +0000 2021,131,50,1122,9362,Saatnya kurang tepat. Sekarang saatnya kencangkan ikat pinggang. Lebih tepat anggaran tersebut digunakan untuk program ekonomi rakyat. Sartono Hutomo #DemokratBersamaRakyat AHY Pemimpin Perubahan,humoris,Tue Aug 02 08:41:34 +0000 2022,0,0,1
1.51E+18,ernilazulni1,ernilazulni,Mon Apr 11 04:19:23 +0000 2022,6,0,166,322,"Generasi muda waspada paham radikalisme. 
Jokowi Peduli Negeri https://t.co/Go83xnYFjr",,Sat Jul 23 02:04:22 +0000 2022,1,0,1
870059784,Desyelr,Desye | FOLLOW AUTO FOLLBACK 🥂,Tue Oct 09 15:15:37 +0000 2012,1584,902,1670,3408,"Rekomendasi Slingbag &amp; Shoulder bag Hitam 🖤
Rate 4.8 - 5.0 ✨
https://t.co/SVjkA56pT1

Tag
SCBD Irwansyah Siwon #TrailerDiktaDanHukum Oma Gill #GadisGadisRemajaJKT48 Ginting He's  10 BRIN https://t.co/1PDyjlymbf","jadilah orang malas, yang malas ribut, malas debat, malas ikut campur urusan orang",Sun Jul 17 11:58:29 +0000 2022,2,0,1
1.54E+18,Kittyzhara2,Kittyzhara,Sun Jul 03 16:36:22 +0000 2022,4,363,161,36,sendirian hamil sange Vcs nih info cek  bio ya? Pemimpin pemersatu bangsa https://t.co/gdvQqDjqb4,https://t.co/OzC5DEYwtx,Mon Jul 18 21:03:13 +0000 2022,1,0,1
1.35E+18,niccaula_rian,nicc²⁵,Fri Jan 08 06:40:46 +0000 2021,64,41,756,332,"https://t.co/VSwKzKpSMK
Reusable pad 

#KinnPorscheEP15 #Pop3rdWin Menuju Prestasi Dunia Piala Prabowo Subianto Nusantara Open 2022 Hujan #YumisCells2Ep12 https://t.co/m8iu2P6u4K",be the best version of you,Sat Jul 16 08:54:37 +0000 2022,0,0,1
1.55E+18,Call1Sex,Mrs.BELIA,Mon Jul 11 14:22:38 +0000 2022,0,120,79,30,Siang BREAKING NEWS para lelaki Pemimpin Pemersatu Bangsa infovcs langsung aja cek di bio Belia https://t.co/v3ncD2TKFt,PELAYANAN VIDEO CALL SEX BERBAYAR! . 𝘙𝘦𝘢𝘭𝘢𝘤𝘤𝘰𝘶𝘯𝘵!! Info rr https://t.co/gxNOSd2JzM,Tue Jul 19 03:45:33 +0000 2022,15,6,1
1.49E+18,fpddprdbjn,@fpd.dprd.bojonegoro,Fri Jan 28 23:06:38 +0000 2022,33,9,5,111,"InsyaAllah, Koalisi @PDemokrat @NasDem &amp; @PKSejahtera semakin nyata. Sehat selalu mas @AgusYudhoyono https://t.co/CJQ2Rm1GIR #DemokratBersamaRakyat AHY Pemimpin Perubahan",Akun Resmi Fraksi Partai Demokrat DPRD Kabupaten Bojonegoro,Tue Aug 02 11:58:34 +0000 2022,0,0,1
1.52E+18,temonkomeng,Temonkomeng,Thu May 12 15:48:49 +0000 2022,3,0,0,790,Jokowi Peduli Negeri https://t.co/iqR5iwVk5F,,Sat Jul 23 02:38:15 +0000 2022,0,0,1
1.41E+18,waktukita12,Waktu Kita,Fri Jul 09 07:13:06 +0000 2021,118,109,35,230,Jokowi Peduli Negeri https://t.co/qa4PpkwCnh,Bersama 🇮🇩,Sat Jul 23 00:25:00 +0000 2022,0,0,1
71490099,c01_soare,constanta soare,Fri Sep 04 08:41:42 +0000 2009,0,53,1,20,Kader Senior Golkar dan Pengusaha Tajir Ini Gabung Demokrat Kabupaten Bandung https://t.co/0lyqZ7pF5Y #DemokratBersamaRakyat AHY Pemimpin Perubahan,,Tue Aug 02 08:55:04 +0000 2022,0,0,1
1.53E+18,arianto_aris2,Arianto Aris,Mon May 30 13:37:24 +0000 2022,38,20,149,298,"Presiden Joko Widodo (Jokowi) mengarahkan agar para jemaah haji yang baru pulang dari tanah suci untuk melakukan vaksinasi booster di asrama haji sebelum pulang ke rumah masing masing. Jokowi Peduli Negeri  
 https://t.co/cNIXMMsRbR","Saya suka kebebasan, tapi tetap bertanggung jawab 🇮🇩",Sat Jul 23 02:28:25 +0000 2022,1,0,1
1.50E+18,fitriarasm,rasmita,Tue Mar 08 03:37:41 +0000 2022,31,0,5,6,"@ss_moloku @prabowo @Gerindra Seluruh Kader maju bersama menhan Prabowo capres 2024.

@prabowo @Gerindra
Prabowo Selalu Teratas
Gerindra Sumbu Utama
Masa Depan NKRI",,Wed Jul 20 07:57:12 +0000 2022,0,0,1
1005421158,bless_blessy14,blessy wilar,Wed Dec 12 03:04:47 +0000 2012,9,2,3,18,"@TamaraSukma yuk, vaksin booster aman banget
Rakyat Rasakan Kemajuan",,Sun Jul 10 06:14:35 +0000 2022,0,0,1
1.52E+18,Vania21oke,Vania21,Wed May 11 09:35:54 +0000 2022,71,83,0,305,Tren:Senin BREAKING NEWS Pemimpin Pemersatu Bangsa Shanks Breakout Cibubur! Ready vcs info rr cek wa,your mine,Tue Jul 19 01:34:43 +0000 2022,0,0,1
1.41E+18,Indones19476613,Ayu Andira Pratiwi,Fri Jul 09 10:13:38 +0000 2021,105,29,78,92,"Vaksinasi Terus Digalakkan untuk Mencegah Peningkatan Kasus Varian Baru Covid-19

Rakyat Rasakan Kemajuan https://t.co/904MauIMpf",🇲🇨🇲🇨damai indonesiaku,Sun Jul 10 04:45:56 +0000 2022,1,0,1
1.41E+18,PKafsiah,Puput kafsiah,Tue Jul 13 06:05:47 +0000 2021,32,4,16,26,"@Psadt_lampung @prabowo @Gerindra Betul sih, MenhanPrabowo yang kini menjadi jabatan menjadi Menhan mendapat keyakinan rakyat yang luar biasa.

@prabowo @Gerindra

Prabowo Selalu Teratas
Gerindra Sumbu Utama
Masa Depan NKRI",,Wed Jul 20 08:32:11 +0000 2022,0,0,1
1.44E+18,Kuunwaa,Wawan Kusuma,Fri Oct 01 08:58:09 +0000 2021,21,0,104,147,"@SultraGerindra @prabowo @Gerindra Saya satu semangat Pak Prabowo capres 2024.

@prabowo @Gerindra
Prabowo Selalu Teratas
Gerindra Sumbu Utama
Masa Depan NKRI",Menjanda,Wed Jul 20 08:14:39 +0000 2022,0,0,1
241453555,MurniAFH,UNOT,Sat Jan 22 08:41:12 +0000 2011,227,389,205,9516,"STROMBREAKER ⚡🪓
Yang mau jadi God Of Thunder, Coba bisa ngangkat ini gak?
Original Guarantee 🔥
Belinya disini⤵️
https://t.co/1RNCZmWY2u

Tags: #ThorLoveAndThunder Natalie RIP Legend Maljum Jeff Bechi Sunnah IPhone #TangkapAbuJanda Jombang Sri Asih #Shopee77 #SikatGigiBareng https://t.co/yB2kaTeQV3","For All The Time, Always!",Thu Jul 07 16:38:22 +0000 2022,0,0,1
233218727,maskerbeningaye,MaskerTransparanDiskon-TarotBaca&Belajar,Sun Jan 02 16:58:53 +0000 2011,238,256,17311,24338,#zonauang #zonajajan #zonaBU #zonaba #StickTo6etherWithNCT127 Nacho #JONGDAE #TangkapAbuJanda Sunnah Boleh Jonathan Bailey #Airdrop Dilatih #ExtraordinaryAttorneyWooEp4 Istirahat #Mango Got7 Yoshi https://t.co/lR8qSOSYb0,"1. Jual masker medis, non medis, dan rambut nenek.
2. Bisa baca&ngajar tarot&birth chart. DM aja.
3. Gepeng Lover. 
4. Link order 👇",Thu Jul 07 22:56:25 +0000 2022,0,0,1
1.53E+18,naufal_una,Una Naufal,Thu Jun 09 03:16:19 +0000 2022,70,33,87,168,"INDIKATOR INDONESIA JAUH DARI RESESI DI TENGAH KRISIS EKONOMI GLOBAL

#indonesiahebat #jokowidodo #ekonomikuat #krisisekonomiglobal #ri1 
#세븐틴과_캐럿의_world Cibubur #SEVENTEN #ONEPIECE1054 pemimpin pemersatu bangsa https://t.co/Uu5YpZBE3j",Merah putih di dadaku,Tue Jul 19 02:01:00 +0000 2022,0,0,1
1.17E+18,papae_dio,Belalang Kupu-kupu,Tue Sep 10 08:14:02 +0000 2019,346,78,3,68,"Pertemuan politik rasa kekeluargaan, mas AHY @AgusYudhoyono dianggap seperti anak sendiri https://t.co/0SfM5zsHD7 #DemokratBersamaRakyat AHY Pemimpin Perubahan",Saya suka bela diri dan sepak bola,Tue Aug 02 11:27:02 +0000 2022,0,0,1
1.44E+18,ProtoRasdi,Rasdi Proto,Fri Oct 01 09:46:04 +0000 2021,37,3,110,152,"@SimpatisanTimur @prabowo @Gerindra Info, dikatakan Hakim tingkat elektabilitas capres akan menjadi pertimbangan partai politik ketika membuat koalisi.

@prabowo @Gerindra
Prabowo Selalu Teratas
Gerindra Sumbu Utama
Masa Depan NKRI",Sayang,Wed Jul 20 08:17:35 +0000 2022,0,0,1
1.53E+18,qiunluwis34,queen luwis,Tue Jun 07 01:51:34 +0000 2022,5,0,0,170,Teroris KSTP Jokowi Peduli Negeri https://t.co/xaEx2gthqQ,cmon guys this is my new Twitter,Sat Jul 23 03:00:39 +0000 2022,0,0,1
1.54E+18,GacoanKali500,Maxwin 500,Tue Jun 21 13:25:09 +0000 2022,16,3,159,543,"News Update !!! 
Saat ini maxwin500 bisa dibilang pemimpin pemersatu bangsa dengan membagikan 20jt setiap hari !!!
#slot #hoki #slotonline #OpenBO #slotmaxwin #maxwin500 #tantegirang #slotgacor #gacor #pulsatanpapotongan #depopulsa
https://t.co/1jyg19ET5B https://t.co/wkQzlPRMpC","First Account ( Newbie )
Agen Situs Mudah Hoki & Gacor
https://t.co/102jN1UrWB
https://t.co/l82ZG0xu1v",Mon Jul 18 19:35:18 +0000 2022,0,2,1
1.38E+18,komisarispolit1,Komisaris Politik,Tue Apr 13 11:49:20 +0000 2021,637,861,564,3967,"Pemerintah berupaya mendorong peningkatan partisipasi masyarakat dan dunia usaha lokal di sektor pariwisata, pemerintah meluncurkan Kampanye Sadar Wisata. #UpayaSejahterakanUMKM #KemajuanIndustriRI
Kapolda
masa depan nkri
mega usung puan
@wishnutama @Kemenparekraf https://t.co/FPEnl7Vfdn",NKRI Maju,Thu Jul 21 08:37:04 +0000 2022,1,6,1
1.53E+18,YadenGu,Yaden Gu,Tue May 31 07:15:08 +0000 2022,102,78,154,348,"Pembentukan DOB) Provinsi Papua Selatan sudah menjadi sebuah keniscayaan dan kewajaran. Dengan struktur administratif dan pertimbangan luas wilayah,layak dilakukan pemekaran untuk mempercepat pemerataan pembangunan dan kesejahteraan.
Jokowi Peduli Negeri 
 https://t.co/GZrkQdYsaz",Bekerja dengan ikhlas untuk keluarga 🇮🇩🇮🇩🇮🇩,Sat Jul 23 02:15:12 +0000 2022,1,0,1
839734466,jhonjhonlladone,jhon jhon lladones,Sat Sep 22 13:14:00 +0000 2012,268,45,0,908,"Soal Pasal Penghinaan Presiden, Pemerintah Jelaskan Definisi Kritik di RKUHP !
https://t.co/OzO2iDaOSE
Jokowi Peduli Negeri",,Sat Jul 23 05:59:08 +0000 2022,0,0,1
1.41E+18,IdrisWidianto,Idris Widianto,Mon Jul 12 14:11:55 +0000 2021,18,0,21,21,"@Psadt_lampung @prabowo @Gerindra Keliatan nih, PakPrabowo yang sekarang menduduki posisi jadi Menhan meraih kepercayaan pemilih yg besar.

@prabowo @Gerindra

Prabowo Selalu Teratas
Gerindra Sumbu Utama
Masa Depan NKRI",,Wed Jul 20 08:22:58 +0000 2022,0,0,1
1.39E+18,AmirDemokrat,Amir DPC PD Kab. Gayo Lues,Tue Apr 27 17:08:28 +0000 2021,573,402,8510,7537,Kader Demokrat Ungkap AHY Memahami Rute Keluar Jebakan Partai Papan Tengah ke Papan Atas https://t.co/TPS2259IDp https://t.co/DCpx4sjaRS #DemokratBersamaRakyat AHY Pemimpin Perubahan,Partai Demokrat,Tue Aug 02 14:34:57 +0000 2022,0,0,1
1.07E+18,DemokratRiau,Demokrat Riau,Wed Nov 28 03:29:23 +0000 2018,558,1291,8048,8840,Semoga MUI dapat terus menjaga Kebhinekaan di Indonesia ( Ketum AHY) https://t.co/Wg8VNUqhwv #DemokratBersamaRakyat AHY Pemimpin Perubahan,"Akun Resmi Partai Demokrat Provinsi Riau.

#berkoalisidenganrakyat
#2024riaumenang

IG: https://t.co/epmwmnHM8w
YouTube: https://t.co/vVcT3dbqKj…",Tue Aug 02 08:07:53 +0000 2022,0,0,1
1.40E+18,mayasantiiii,maya santi,Mon Jun 07 17:23:30 +0000 2021,28,30,66,63,"@SG_Sumsel @prabowo @Gerindra Update, menurut Hakim tinggi elektabilitas calon akan menjadi pertimbangan partai politik ketika membentuk koalisi.

@prabowo @Gerindra
Prabowo Selalu Teratas
Gerindra Sumbu Utama
Masa Depan NKRI",gatau,Wed Jul 20 08:22:49 +0000 2022,0,0,1
9.38E+17,HAgungNugroho84,H. Agung Nugroho,Wed Dec 06 07:46:28 +0000 2017,167,274,71,301,Demokrat Kota Bekasi Siap Menangkan AHY Presiden 2024 https://t.co/vSNKX7bIiz https://t.co/wiHkw1CiOf #DemokratBersamaRakyat AHY Pemimpin Perubahan,"“ Kejar Akhirat, Maka Dunia akan Mengikuti “ .",Tue Aug 02 08:00:49 +0000 2022,0,0,1
1.53E+18,ZaraAul34702462,Zara Aulia,Tue Jun 07 12:53:02 +0000 2022,52,21,56,143,"Jokowi menyampaikan ucapan selamat Hari Bhayangkara atau hari ulang tahun ke-76 Polri saat menjadi inspektur upacara peringatan Hari Bhayangkara di Semarang, Selasa (5/7/22).

Follow @ZaraAul34702462 

#TangkapAbuJanda #AdaApaDenganGojek #videnistmenggeboi #SikatGigiBareng https://t.co/6b8P0ipZDJ","Baru disini, bimbingannya :)",Fri Jul 08 01:21:21 +0000 2022,0,0,1
1.47E+18,Anandaa_ana0027,i'm anaa,Thu Dec 16 13:08:04 +0000 2021,36,251,1607,4020,"Rakyat rasakan kemajuan Saya telah mengirimkan #ShopeePayTHR 🧧. Ayo, ambil di sini sebelum habis 👉👉 https://t.co/SOueah9ADD https://t.co/wRFFyXCQAm","Ga boleh gitu ya!
cuma mau spam THR doang kok, maap klo THRnya abis pas share😭😭",Sun Jul 10 05:15:19 +0000 2022,0,0,1
1.43E+18,kirana_lufta,kirana lufta,Thu Sep 02 07:40:36 +0000 2021,3,5,96,921,dan udah pas banget ya dengan kinerja terbaik dari pak erick thohir ini diakui oleh BRIN jadinya kita semakin yakin juga salut karena bisa membawa BUMN lebih baik lagi kedepannya #ETSolusiBUMNSehat #ErickThohirJujurBersih https://t.co/lCeZ7gEIwB,,Sat Jul 09 10:03:09 +0000 2022,0,0,1
1.54E+18,SaraswatiVinny,Vinny Saraswati,Sat Jun 11 03:33:07 +0000 2022,47,26,22,30,"Kaya Manfaat, Jokowi Perintahkan Menteri KUKM Produksi Minyak Goreng Merah

#PesonaIndonesia #Indonesia  WELCOME TO SVT #LangkahTepatKapolri Semangat Jaga Obyektifitas #เตนิวจ๋าโพก้า4ขวบแล้ว Cibubur jokowi prabowo akrab Pemimpin Pemersatu Bangsa Cegah Penularan Covid https://t.co/7vwa8Ouf13","Membela NKRI | NKRI Harga Mati | No porn | No Kadrun | indonesia Dihati | Kawal NKRI
#nkrihargamati
#pejuangmerahputih",Tue Jul 19 04:28:45 +0000 2022,1,1,1
1.55E+18,DerinaZarina,Derina Zarina,Wed Jul 13 08:12:44 +0000 2022,6,0,0,49,"kalau tidak selaras dengan penegakan hukum atau tidak pararel dengan penegakan hukum yang tegas yang memang adil, tidak memihak, maka sama saja demokrasi itu akan hampa, kosong,"" ucapnya.
Jokowi Peduli Negeri",,Sat Jul 23 05:08:40 +0000 2022,0,0,1
1.40E+18,Sofimaulina3,Sofi maulina,Mon Jun 07 17:34:08 +0000 2021,25,1,73,64,"@SG_Sumsel @prabowo @Gerindra Kuat Selalu Pak Prabowo, jangan berhanti

@prabowo @Gerindra
Prabowo Selalu Teratas
Gerindra Sumbu Utama
Masa Depan NKRI",Gimana kamu,Wed Jul 20 08:26:53 +0000 2022,0,0,1
1.50E+18,indah_semok3,indah semok3,Wed Mar 16 22:09:57 +0000 2022,0,2690,1564,344,Pemimpin pemersatu bangsa tante indah pemuas nafsu pria nakal wa https://t.co/Jd1z65AI3M,Available trusted real 💯 follow ya☝️ acoun real ada uang ada perlayanan.,Mon Jul 18 16:57:12 +0000 2022,14,3,1
1.36E+18,Pdemokratkabsrg,DPC Demokrat Kab. Serang,Tue Feb 02 06:16:48 +0000 2021,773,1127,4977,9723,Anies AHY Diprediksi Menang Pilpres 2024 https://t.co/K0nKUt6JsE  #DemokratBersamaRakyat AHY Pemimpin Perubahan,Akun Resmi Dewan Pimpinan Cabang Partai Demokrat Kabupaten Serang | Alamat : Jl. Raya Simpang Lima Ciracas Sepang No. 31 Serang Provinsi Banten.,Tue Aug 02 08:50:57 +0000 2022,0,0,1
1.24E+18,4n4kMami,AnakMami,Mon Mar 16 02:05:30 +0000 2020,2344,1311,21,7686,"Waspadai Provokasi Kelompok Yang Bertujuan Memecah Belah Bangsa Serta Mengganggu Ideologi Pancasila
Jokowi Peduli Negeri https://t.co/fRCAMaCYk5","sajauh-jauh bajalan, takana juo jalan pulang. #ingekjasomande",Sat Jul 23 02:16:44 +0000 2022,0,0,1
7.42E+17,terbucinz,vin ,Sun Jun 12 16:01:59 +0000 2016,9817,12480,47919,62497,"Kinerja Menteri BUMN Erick Thohir dalam menciptakan lapangan kerja diakui oleh Badan Riset dan Inovasi Nasional (BRIN). 
Dalam riset lembaga ini, program KUR yang terus digenjot Erick Thohir berpotensi menyerap 32,1 juta tenaga kerja.

#BangkitBersamaET https://t.co/gtfbShTM9X",━━╬٨ـﮩﮩ❤٨ـﮩﮩـ Cₑbₒₙgₑᵣ ⱼₒₖₒwₑᵣ ₐₕₒₖₑᵣ  #gₐₛᵣᵢ #ⱼₐₗᵢₙₚₑᵣₛₐₜᵤₐₙ,Sat Jul 09 01:16:37 +0000 2022,31,29,1
1.41E+18,NadinRiska1,Nadin Riska,Wed Jun 16 08:41:34 +0000 2021,27,1,52,64,"@MitaFitri13 @prabowo @Gerindra Kuat Selalu Pak Prabowo, jangan menyerah.
@prabowo
@gerindra
Prabowo Selalu Teratas
Gerindra Sumbu Utama
Masa Depan NKRI",T,Wed Jul 20 07:52:22 +0000 2022,0,0,1
1.46E+18,TerryPu56389900,Terry Putri,Sun Nov 21 14:17:08 +0000 2021,15,0,39,80,"@TamaraSukma Yuk di vaksin lengkap ampe booster supaya kuat hadepin varian baru covid 19, jgn cuma kuat hadepin km yang jauhin aq
Rakyat Rasakan Kemajuan",karena hidup itu penuh warna,Sun Jul 10 06:18:13 +0000 2022,0,0,1
1.55E+18,sesilchan12,sesilchan,Mon Jul 18 18:17:03 +0000 2022,6,0,0,4,"""Pemimpin Pemersatu Bangsa""
Hamil
Cibubur
""BREAKING NEWS""
#lowongankerja
#SANGE_AAAAAAAAAA 
#Sangebanget https://t.co/jMS4Bbp11t",vcs berbayar real account https://t.co/i1Km7N2dmX,Tue Jul 19 00:53:47 +0000 2022,0,0,1
